tld,DNSSEC enabled %,DNSSEC Enabled?,#Days of no DNSSEC in 2019,#Days of no DNSSEC in 2020,#Days of no DNSSEC in 2021,#Days of no DNSSEC,First DNSSEC enabled
.tab,1.0,enabled,0,0,0,0,2019-01-01
.taipei,1.0,enabled,0,0,0,0,2019-01-01
.talk,1.0,enabled,0,0,0,0,2019-01-01
.taobao,1.0,enabled,0,0,0,0,2019-01-01
.target,1.0,enabled,0,0,0,0,2019-01-01
.tatar,1.0,enabled,0,0,0,0,2019-01-01
.tattoo,1.0,enabled,0,0,0,0,2019-01-01
.tax,1.0,enabled,0,0,0,0,2019-01-01
.taxi,1.0,enabled,0,0,0,0,2019-01-01
.tci,1.0,enabled,0,0,0,0,2019-01-01
.tdk,1.0,enabled,0,0,0,0,2019-01-01
.team,1.0,enabled,0,0,0,0,2019-01-01
.tech,1.0,enabled,0,0,0,0,2019-01-01
.technology,1.0,enabled,0,0,0,0,2019-01-01
.tel,1.0,enabled,0,0,0,0,2019-01-01
.telefonica,1.0,enabled,0,,,,2019-01-01
.temasek,1.0,enabled,0,0,0,0,2019-01-01
.industries,1.0,enabled,0,0,0,0,2019-01-01
.love,1.0,enabled,0,0,0,0,2019-01-01
.immobilien,1.0,enabled,0,0,0,0,2019-01-01
.credit,1.0,enabled,0,0,0,0,2019-01-01
.cleaning,1.0,enabled,0,0,0,0,2019-01-01
.click,1.0,enabled,0,0,0,0,2019-01-01
.clinic,1.0,enabled,0,0,0,0,2019-01-01
.clothing,1.0,enabled,0,0,0,0,2019-01-01
.cloud,1.0,enabled,0,0,0,0,2019-01-01
.club,1.0,enabled,0,0,0,0,2019-01-01
.coach,1.0,enabled,0,0,0,0,2019-01-01
.codes,1.0,enabled,0,0,0,0,2019-01-01
.coffee,1.0,enabled,0,0,0,0,2019-01-01
.college,1.0,enabled,0,0,0,0,2019-01-01
.cologne,1.0,enabled,0,0,0,0,2019-01-01
.comcast,1.0,enabled,0,0,0,0,2019-01-01
.commbank,1.0,enabled,0,0,0,0,2019-01-01
.community,1.0,enabled,0,0,0,0,2019-01-01
.company,1.0,enabled,0,0,0,0,2019-01-01
.compare,1.0,enabled,0,0,0,0,2019-01-01
.computer,1.0,enabled,0,0,0,0,2019-01-01
.condos,1.0,enabled,0,0,0,0,2019-01-01
.construction,1.0,enabled,0,0,0,0,2019-01-01
.consulting,1.0,enabled,0,0,0,0,2019-01-01
.contractors,1.0,enabled,0,0,0,0,2019-01-01
.cooking,1.0,enabled,0,0,0,0,2019-01-01
.cool,1.0,enabled,0,0,0,0,2019-01-01
.coop,1.0,enabled,0,0,0,0,2019-01-01
.corsica,1.0,enabled,0,0,0,0,2019-01-01
.country,1.0,enabled,0,0,0,0,2019-01-01
.coupon,1.0,enabled,0,0,0,0,2019-01-01
.coupons,1.0,enabled,0,0,0,0,2019-01-01
.courses,1.0,enabled,0,0,0,0,2019-01-01
.claims,1.0,enabled,0,0,0,0,2019-01-01
.city,1.0,enabled,0,0,0,0,2019-01-01
.citi,1.0,enabled,0,0,0,0,2019-01-01
.cbre,1.0,enabled,0,0,0,0,2019-01-01
.careers,1.0,enabled,0,0,0,0,2019-01-01
.cars,1.0,enabled,0,0,0,0,2019-01-01
.cartier,1.0,enabled,0,,,,2019-01-01
.casa,1.0,enabled,0,0,0,0,2019-01-01
.case,1.0,enabled,0,0,0,0,2019-01-01
.caseih,1.0,enabled,0,0,0,0,2019-01-01
.cash,1.0,enabled,0,0,0,0,2019-01-01
.casino,1.0,enabled,0,0,0,0,2019-01-01
.cat,1.0,enabled,0,0,0,0,2019-01-01
.catering,1.0,enabled,0,0,0,0,2019-01-01
.catholic,1.0,enabled,0,0,0,0,2019-01-01
.cba,1.0,enabled,0,0,0,0,2019-01-01
.cbn,1.0,enabled,0,0,0,0,2019-01-01
.cbs,1.0,enabled,0,0,0,0,2019-01-01
.cisco,1.0,enabled,0,0,0,0,2019-01-01
.ceb,1.0,enabled,0,0,,,2019-01-01
.center,1.0,enabled,0,0,0,0,2019-01-01
.ceo,1.0,enabled,0,0,0,0,2019-01-01
.cern,1.0,enabled,0,0,0,0,2019-01-01
.charity,1.0,enabled,0,0,0,0,2019-01-01
.chat,1.0,enabled,0,0,0,0,2019-01-01
.cheap,1.0,enabled,0,0,0,0,2019-01-01
.chintai,1.0,enabled,0,0,0,0,2019-01-01
.christmas,1.0,enabled,0,0,0,0,2019-01-01
.chrysler,1.0,enabled,0,,,,2019-01-01
.church,1.0,enabled,0,0,0,0,2019-01-01
.cipriani,1.0,enabled,0,0,0,0,2019-01-01
.circle,1.0,enabled,0,0,0,0,2019-01-01
.cpa,1.0,enabled,0,0,0,0,2019-12-17
.creditcard,1.0,enabled,0,0,0,0,2019-01-01
.care,1.0,enabled,0,0,0,0,2019-01-01
.creditunion,1.0,enabled,0,0,0,0,2019-01-01
.discover,1.0,enabled,0,0,0,0,2019-01-01
.dish,1.0,enabled,0,0,0,0,2019-01-01
.doctor,1.0,enabled,0,0,0,0,2019-01-01
.dodge,1.0,enabled,0,,,,2019-01-01
.dog,1.0,enabled,0,0,0,0,2019-01-01
.doha,1.0,enabled,0,,,,2019-01-01
.domains,1.0,enabled,0,0,0,0,2019-01-01
.dot,1.0,enabled,0,0,0,0,2019-01-01
.download,1.0,enabled,0,0,0,0,2019-01-01
.dtv,1.0,enabled,0,0,0,0,2019-01-01
.dubai,1.0,enabled,0,0,0,0,2019-01-01
.duns,1.0,enabled,0,,,,2019-01-01
.durban,1.0,enabled,0,0,0,0,2019-01-01
.dvag,1.0,enabled,0,0,0,0,2019-01-01
.dvr,1.0,enabled,0,0,0,0,2019-01-01
.earth,1.0,enabled,0,0,0,0,2019-01-01
.eco,1.0,enabled,0,0,0,0,2019-01-01
.edeka,1.0,enabled,0,0,0,0,2019-01-01
.edu,1.0,enabled,,0,,,2020-01-01
.education,1.0,enabled,0,0,0,0,2019-01-01
.email,1.0,enabled,0,0,0,0,2019-01-01
.emerck,1.0,enabled,0,0,0,0,2019-01-01
.energy,1.0,enabled,0,0,0,0,2019-01-01
.engineer,1.0,enabled,0,0,0,0,2019-01-01
.engineering,1.0,enabled,0,0,0,0,2019-01-01
.enterprises,1.0,enabled,0,0,0,0,2019-01-01
.epost,1.0,enabled,0,,,,2019-01-01
.equipment,1.0,enabled,0,0,0,0,2019-01-01
.erni,1.0,enabled,0,0,0,0,2019-01-01
.discount,1.0,enabled,0,0,0,0,2019-01-01
.directory,1.0,enabled,0,0,0,0,2019-01-01
.direct,1.0,enabled,0,0,0,0,2019-01-01
.dealer,1.0,enabled,0,0,0,0,2019-01-01
.immo,1.0,enabled,0,0,0,0,2019-01-01
.cruise,1.0,enabled,0,0,0,0,2019-01-01
.cruises,1.0,enabled,0,0,0,0,2019-01-01
.cuisinella,1.0,enabled,0,0,0,0,2019-01-01
.cymru,1.0,enabled,0,0,0,0,2019-01-01
.cyou,1.0,enabled,0,0,0,0,2019-01-01
.dabur,1.0,enabled,0,0,0,0,2019-01-01
.dance,1.0,enabled,0,0,0,0,2019-01-01
.data,1.0,enabled,0,0,0,0,2019-01-01
.date,1.0,enabled,0,0,0,0,2019-01-01
.dating,1.0,enabled,0,0,0,0,2019-01-01
.dds,1.0,enabled,0,0,0,0,2019-01-01
.deal,1.0,enabled,0,0,0,0,2019-01-01
.deals,1.0,enabled,0,0,0,0,2019-01-01
.digital,1.0,enabled,0,0,0,0,2019-01-01
.degree,1.0,enabled,0,0,0,0,2019-01-01
.delivery,1.0,enabled,0,0,0,0,2019-01-01
.deloitte,1.0,enabled,0,0,0,0,2019-01-01
.delta,1.0,enabled,0,0,0,0,2019-01-01
.democrat,1.0,enabled,0,0,0,0,2019-01-01
.dental,1.0,enabled,0,0,0,0,2019-01-01
.dentist,1.0,enabled,0,0,0,0,2019-01-01
.desi,1.0,enabled,0,0,0,0,2019-01-01
.design,1.0,enabled,0,0,0,0,2019-01-01
.dev,1.0,enabled,0,0,0,0,2019-01-01
.dhl,1.0,enabled,0,0,0,0,2019-01-01
.diamonds,1.0,enabled,0,0,0,0,2019-01-01
.diet,1.0,enabled,0,0,0,0,2019-01-01
.career,1.0,enabled,0,0,0,0,2019-01-01
.cards,1.0,enabled,0,0,0,0,2019-01-01
.esurance,1.0,enabled,0,0,,,2019-01-01
.band,1.0,enabled,0,0,0,0,2019-01-01
.amsterdam,1.0,enabled,0,0,0,0,2019-01-01
.analytics,1.0,enabled,0,0,0,0,2019-01-01
.anquan,1.0,enabled,0,0,0,0,2019-01-01
.anz,1.0,enabled,0,0,0,0,2019-01-01
.apartments,1.0,enabled,0,0,0,0,2019-01-01
.app,1.0,enabled,0,0,0,0,2019-01-01
.apple,1.0,enabled,0,0,0,0,2019-01-01
.aquarelle,1.0,enabled,0,0,0,0,2019-01-01
.arab,1.0,enabled,0,0,0,0,2019-01-01
.archi,1.0,enabled,0,0,0,0,2019-01-01
.army,1.0,enabled,0,0,0,0,2019-01-01
.art,1.0,enabled,0,0,0,0,2019-01-01
.asia,1.0,enabled,,0,,,2020-01-01
.associates,1.0,enabled,0,0,0,0,2019-01-01
.athleta,1.0,enabled,0,0,0,0,2019-01-01
.attorney,1.0,enabled,0,0,0,0,2019-01-01
.auction,1.0,enabled,0,0,0,0,2019-01-01
.audi,1.0,enabled,0,0,0,0,2019-01-01
.audible,1.0,enabled,0,0,0,0,2019-01-01
.audio,1.0,enabled,0,0,0,0,2019-01-01
.auspost,1.0,enabled,0,0,0,0,2019-01-01
.author,1.0,enabled,0,0,0,0,2019-01-01
.auto,1.0,enabled,0,0,0,0,2019-01-01
.autos,1.0,enabled,0,0,0,0,2019-01-01
.avianca,1.0,enabled,0,0,0,0,2019-01-01
.aws,1.0,enabled,0,0,0,0,2019-01-01
.axa,1.0,enabled,0,0,0,0,2019-01-01
.baby,1.0,enabled,0,0,0,0,2019-01-01
.banamex,1.0,enabled,0,0,0,0,2019-01-01
.amica,1.0,enabled,0,0,0,0,2019-01-01
.amex,1.0,enabled,0,0,0,0,2019-01-01
.americanexpress,1.0,enabled,0,0,0,0,2019-01-01
.afl,1.0,enabled,0,0,0,0,2019-01-01
.abarth,1.0,enabled,0,0,0,0,2019-01-01
.abbvie,1.0,enabled,0,0,0,0,2019-01-01
.able,1.0,enabled,0,0,0,0,2019-01-01
.abogado,1.0,enabled,0,0,0,0,2019-01-01
.abudhabi,1.0,enabled,0,0,0,0,2019-01-01
.academy,1.0,enabled,0,0,0,0,2019-01-01
.accountant,1.0,enabled,0,0,0,0,2019-01-01
.accountants,1.0,enabled,0,0,0,0,2019-01-01
.active,1.0,enabled,0,,,,2019-01-01
.actor,1.0,enabled,0,0,0,0,2019-01-01
.adac,1.0,enabled,0,0,0,0,2019-01-01
.adult,1.0,enabled,0,0,0,0,2019-01-01
.aetna,1.0,enabled,0,0,0,0,2019-01-01
.africa,1.0,enabled,0,0,0,0,2019-01-01
.amazon,1.0,enabled,,0,0,,2020-06-05
.agakhan,1.0,enabled,0,0,0,0,2019-01-01
.agency,1.0,enabled,0,0,0,0,2019-01-01
.aig,1.0,enabled,0,0,0,0,2019-01-05
.aigo,1.0,enabled,0,0,,,2019-01-01
.airforce,1.0,enabled,0,0,0,0,2019-01-01
.akdn,1.0,enabled,0,0,0,0,2019-01-01
.alfaromeo,1.0,enabled,0,0,0,0,2019-01-01
.alibaba,1.0,enabled,0,0,0,0,2019-01-01
.alipay,1.0,enabled,0,0,0,0,2019-01-01
.allfinanz,1.0,enabled,0,0,0,0,2019-01-01
.allstate,1.0,enabled,0,0,0,0,2019-01-01
.alsace,1.0,enabled,0,0,0,0,2019-01-01
.alstom,1.0,enabled,,0,0,,2020-09-03
.bananarepublic,1.0,enabled,0,0,0,0,2019-01-01
.bank,1.0,enabled,0,0,0,0,2019-01-01
.caravan,1.0,enabled,0,0,0,0,2019-01-01
.bar,1.0,enabled,0,0,0,0,2019-01-01
.bond,1.0,enabled,0,0,0,0,2019-01-01
.book,1.0,enabled,0,0,0,0,2019-01-01
.booking,1.0,enabled,0,0,0,0,2019-01-01
.bostik,1.0,enabled,0,0,0,0,2019-01-01
.boston,1.0,enabled,0,0,0,0,2019-01-01
.bot,1.0,enabled,0,0,0,0,2019-01-01
.boutique,1.0,enabled,0,0,0,0,2019-01-01
.box,1.0,enabled,0,0,0,0,2019-01-01
.bradesco,1.0,enabled,0,0,0,0,2019-01-01
.broadway,1.0,enabled,0,0,0,0,2019-01-01
.broker,1.0,enabled,0,0,0,0,2019-01-01
.brussels,1.0,enabled,0,0,0,0,2019-01-01
.budapest,1.0,enabled,0,0,0,0,2019-01-01
.bugatti,1.0,enabled,0,0,0,0,2019-01-01
.builders,1.0,enabled,0,0,0,0,2019-01-01
.business,1.0,enabled,0,0,0,0,2019-01-01
.buy,1.0,enabled,0,0,0,0,2019-01-01
.buzz,1.0,enabled,0,0,0,0,2019-01-01
.bzh,1.0,enabled,0,0,0,0,2019-01-01
.cab,1.0,enabled,0,0,0,0,2019-01-01
.cafe,1.0,enabled,0,0,0,0,2019-01-01
.call,1.0,enabled,0,0,0,0,2019-01-01
.calvinklein,1.0,enabled,0,0,0,0,2019-01-17
.cam,1.0,enabled,0,0,0,0,2019-01-01
.camera,1.0,enabled,0,0,0,0,2019-01-01
.camp,1.0,enabled,0,0,0,0,2019-01-01
.cancerresearch,1.0,enabled,0,0,0,0,2019-01-01
.capital,1.0,enabled,0,0,0,0,2019-01-01
.car,1.0,enabled,0,0,0,0,2019-01-01
.bom,1.0,enabled,0,0,0,0,2019-01-01
.boehringer,1.0,enabled,0,0,0,0,2019-01-01
.boats,1.0,enabled,0,0,0,0,2019-01-01
.bestbuy,1.0,enabled,0,0,0,0,2019-01-01
.barcelona,1.0,enabled,0,0,0,0,2019-01-01
.barclaycard,1.0,enabled,0,0,0,0,2019-01-01
.barclays,1.0,enabled,0,0,0,0,2019-01-01
.bargains,1.0,enabled,0,0,0,0,2019-01-01
.baseball,1.0,enabled,0,0,0,0,2019-01-01
.bauhaus,1.0,enabled,0,0,0,0,2019-01-01
.bayern,1.0,enabled,0,0,0,0,2019-01-01
.bbc,1.0,enabled,0,0,0,0,2019-01-11
.bcn,1.0,enabled,0,0,0,0,2019-01-01
.beats,1.0,enabled,0,0,0,0,2019-01-01
.beer,1.0,enabled,0,0,0,0,2019-01-01
.bentley,1.0,enabled,0,0,0,0,2019-01-01
.best,1.0,enabled,0,0,0,0,2019-01-01
.bet,1.0,enabled,0,0,0,0,2019-01-01
.bnpparibas,1.0,enabled,0,0,0,0,2019-10-19
.bible,1.0,enabled,0,0,0,0,2019-01-01
.bid,1.0,enabled,0,0,0,0,2019-01-01
.bike,1.0,enabled,0,0,0,0,2019-01-01
.bingo,1.0,enabled,0,0,0,0,2019-01-01
.bio,1.0,enabled,0,0,0,0,2019-01-01
.biz,1.0,enabled,0,0,,,2019-10-31
.black,1.0,enabled,0,0,0,0,2019-01-01
.blackfriday,1.0,enabled,0,0,0,0,2019-01-01
.blockbuster,1.0,enabled,0,0,0,0,2019-01-01
.blog,1.0,enabled,0,0,,,2019-01-01
.blue,1.0,enabled,0,0,0,0,2019-01-01
.bmw,1.0,enabled,0,0,0,0,2019-01-01
.bnl,1.0,enabled,0,,,,2019-01-01
.estate,1.0,enabled,0,0,0,0,2019-01-01
.cricket,1.0,enabled,0,0,0,0,2019-01-01
.gmbh,1.0,enabled,0,0,0,0,2019-01-01
.green,1.0,enabled,0,0,0,0,2019-01-01
.godaddy,1.0,enabled,0,0,0,0,2019-01-01
.gold,1.0,enabled,0,0,0,0,2019-01-01
.golf,1.0,enabled,0,0,0,0,2019-01-01
.flir,1.0,enabled,0,0,0,0,2019-01-01
.goog,1.0,enabled,0,0,0,0,2019-01-01
.flights,1.0,enabled,0,0,0,0,2019-01-01
.google,1.0,enabled,0,0,0,0,2019-01-01
.gop,1.0,enabled,0,0,0,0,2019-01-01
.flickr,1.0,enabled,0,0,0,0,2019-01-01
.got,1.0,enabled,0,0,0,0,2019-01-01
.grainger,1.0,enabled,0,0,0,0,2019-01-01
.fitness,1.0,enabled,0,0,0,0,2019-01-01
.graphics,1.0,enabled,0,0,0,0,2019-01-01
.gratis,1.0,enabled,0,0,0,0,2019-01-01
.gripe,1.0,enabled,0,0,0,0,2019-01-01
.helsinki,1.0,enabled,0,0,0,0,2019-01-01
.group,1.0,enabled,0,0,0,0,2019-01-01
.gucci,1.0,enabled,0,0,0,0,2019-01-01
.guide,1.0,enabled,0,0,0,0,2019-01-01
.guitars,1.0,enabled,0,0,0,0,2019-01-01
.guru,1.0,enabled,0,0,0,0,2019-01-01
.fit,1.0,enabled,0,0,0,0,2019-01-01
.hamburg,1.0,enabled,0,0,0,0,2019-01-01
.frontier,1.0,enabled,0,0,0,0,2019-01-01
.haus,1.0,enabled,0,0,0,0,2019-01-01
.fish,1.0,enabled,0,0,0,0,2019-01-01
.hbo,1.0,enabled,0,0,0,0,2019-01-01
.hdfc,1.0,enabled,0,0,0,0,2019-01-01
.health,1.0,enabled,0,0,0,0,2019-01-01
.healthcare,1.0,enabled,0,0,0,0,2019-01-01
.gmx,1.0,enabled,0,0,0,0,2019-01-01
.florist,1.0,enabled,0,0,0,0,2019-01-01
.eurovision,1.0,enabled,0,0,0,0,2019-01-01
.flowers,1.0,enabled,0,0,0,0,2019-01-01
.frl,1.0,enabled,0,0,0,0,2019-01-01
.fresenius,1.0,enabled,0,0,0,0,2019-01-01
.free,1.0,enabled,0,0,0,0,2019-01-01
.fox,1.0,enabled,0,0,0,0,2019-01-01
.ftr,1.0,enabled,0,0,0,0,2019-01-01
.fun,1.0,enabled,0,0,0,0,2019-01-01
.fund,1.0,enabled,0,0,0,0,2019-01-01
.foundation,1.0,enabled,0,0,0,0,2019-01-01
.furniture,1.0,enabled,0,0,0,0,2019-01-01
.futbol,1.0,enabled,0,0,0,0,2019-01-01
.forsale,1.0,enabled,0,0,0,0,2019-01-01
.fyi,1.0,enabled,0,0,0,0,2019-01-01
.gal,1.0,enabled,0,0,0,0,2019-01-01
.gallery,1.0,enabled,0,0,0,0,2019-01-01
.game,1.0,enabled,0,0,0,0,2019-01-01
.games,1.0,enabled,0,0,0,0,2019-01-01
.ford,1.0,enabled,0,0,0,0,2019-01-01
.football,1.0,enabled,0,0,0,0,2019-01-01
.gap,1.0,enabled,0,0,0,0,2019-01-01
.garden,1.0,enabled,0,0,0,0,2019-01-01
.gent,1.0,enabled,0,0,0,0,2019-01-01
.gift,1.0,enabled,0,0,0,0,2019-01-01
.gifts,1.0,enabled,0,0,0,0,2019-01-01
.gives,1.0,enabled,0,0,0,0,2019-01-01
.giving,1.0,enabled,0,0,0,0,2019-01-01
.foo,1.0,enabled,0,0,0,0,2019-01-01
.glass,1.0,enabled,0,0,0,0,2019-01-01
.global,1.0,enabled,0,0,0,0,2019-01-01
.globo,1.0,enabled,0,0,0,0,2019-01-01
.help,1.0,enabled,0,0,0,0,2019-01-01
.fishing,1.0,enabled,0,0,0,0,2019-01-01
.frogans,1.0,enabled,0,0,0,0,2019-01-01
.hoteles,1.0,enabled,0,0,0,0,2019-02-28
.imamat,1.0,enabled,0,0,0,0,2019-01-01
.exposed,1.0,enabled,0,0,0,0,2019-01-01
.fans,1.0,enabled,0,0,0,0,2019-01-01
.fan,1.0,enabled,0,0,0,0,2019-01-01
.horse,1.0,enabled,0,0,0,0,2019-01-01
.fire,1.0,enabled,0,0,0,0,2019-01-01
.hospital,1.0,enabled,0,0,0,0,2019-01-01
.host,1.0,enabled,0,0,0,0,2019-01-03
.hosting,1.0,enabled,0,0,0,0,2019-01-01
.family,1.0,enabled,0,0,0,0,2019-01-01
.everbank,1.0,enabled,0,,,,2019-01-01
.faith,1.0,enabled,0,0,0,0,2019-01-01
.hot,1.0,enabled,0,0,0,0,2019-01-01
.hotels,1.0,enabled,0,0,0,0,2019-01-01
.farm,1.0,enabled,0,0,0,0,2019-01-01
.exchange,1.0,enabled,0,0,0,0,2019-01-01
.expert,1.0,enabled,0,0,0,0,2019-01-01
.house,1.0,enabled,0,0,0,0,2019-01-01
.how,1.0,enabled,0,0,0,0,2019-01-01
.hsbc,1.0,enabled,0,0,0,0,2019-01-01
.hughes,1.0,enabled,0,0,0,0,2019-01-01
.fail,1.0,enabled,0,0,0,0,2019-01-01
.ibm,1.0,enabled,0,0,0,0,2019-01-01
.fage,1.0,enabled,0,0,0,0,2019-01-01
.extraspace,1.0,enabled,0,0,0,0,2019-01-01
.icbc,1.0,enabled,0,0,0,0,2019-01-01
.express,1.0,enabled,0,0,0,0,2019-01-01
.icu,1.0,enabled,0,0,0,0,2019-01-01
.honeywell,1.0,enabled,0,,,,2019-01-01
.ieee,1.0,enabled,0,0,0,0,2019-01-01
.events,1.0,enabled,0,0,0,0,2019-01-01
.finance,1.0,enabled,0,0,0,0,2019-01-01
.hiphop,1.0,enabled,0,0,0,0,2019-01-01
.fido,1.0,enabled,0,0,0,0,2019-01-01
.hiv,1.0,enabled,0,0,0,0,2019-01-01
.fiat,1.0,enabled,0,0,0,0,2019-01-01
.film,1.0,enabled,0,0,0,0,2019-01-01
.final,1.0,enabled,0,0,0,0,2019-01-01
.eus,1.0,enabled,0,0,0,0,2019-01-01
.hkt,1.0,enabled,0,0,0,0,2019-01-01
.ferrero,1.0,enabled,0,0,0,0,2019-01-01
.hockey,1.0,enabled,0,0,0,0,2019-01-01
.imdb,1.0,enabled,0,0,0,0,2019-01-01
.holdings,1.0,enabled,0,0,0,0,2019-01-01
.holiday,1.0,enabled,0,0,0,0,2019-01-01
.homegoods,1.0,enabled,0,0,0,0,2019-01-01
.financial,1.0,enabled,0,0,0,0,2019-01-01
.fast,1.0,enabled,0,0,0,0,2019-01-01
.homes,1.0,enabled,0,0,0,0,2019-01-01
.fashion,1.0,enabled,0,0,0,0,2019-01-01
.homesense,1.0,enabled,0,0,0,0,2019-01-01
.farmers,1.0,enabled,0,0,0,0,2019-01-01
.xn--xhq521b,0.9990867579908675,partially,0,0,1,1,2019-01-01
.sandvikcoromant,0.9990338164251208,partially,0,1,0,1,2019-01-01
.sandvik,0.9990338164251208,partially,0,1,0,1,2019-01-01
.walter,0.9990338164251208,partially,0,1,0,1,2019-01-01
.saxo,0.9990319457889641,partially,0,1,0,1,2019-01-01
.hermes,0.9990253411306043,partially,0,1,0,1,2019-01-01
.xn--io0a7i,0.9990118577075099,partially,1,0,0,1,2019-01-08
.xn--55qx5d,0.9990118577075099,partially,1,0,0,1,2019-01-08
.hyatt,0.9990079365079365,partially,0,1,0,1,2019-01-01
.abbott,0.998997995991984,partially,0,1,0,1,2019-01-17
.ikano,0.998997995991984,partially,0,1,0,1,2019-01-18
.dell,0.9989949748743718,partially,0,1,0,1,2019-01-01
.scb,0.997624703087886,partially,0,2,0,2,2019-03-26
.xn--1qqw23a,0.9972972972972973,partially,1,1,0,2,2019-01-01
.jpmorgan,0.9954337899543378,partially,0,4,1,5,2019-01-01
.capetown,0.994059405940594,partially,0,6,0,6,2019-01-01
.joburg,0.994059405940594,partially,0,6,0,6,2019-01-01
.berlin,0.9927461139896373,partially,0,7,0,7,2019-01-01
.build,0.9900124843945068,partially,0,8,0,8,2019-02-12
.luxury,0.9899874843554443,partially,0,8,0,8,2019-02-14
.watches,0.9844748858447488,partially,0,17,0,17,2019-01-01
.ryukyu,0.9817017383348582,partially,20,0,0,20,2019-01-22
.basketball,0.9789954337899544,partially,0,0,23,23,2019-01-01
.kred,0.9375650364203955,partially,59,0,1,60,2019-03-21
.monster,0.9342592592592592,partially,71,0,0,71,2019-03-28
.nagoya,0.9222323879231473,partially,0,85,0,85,2019-01-01
.mls,0.9213893967093236,partially,86,0,0,86,2019-03-28
.sbi,0.9141552511415525,partially,94,0,0,94,2019-04-05
.llp,0.8678474114441417,partially,4,93,0,97,2020-04-04
.makeup,0.8651252408477842,partially,1,49,90,140,2019-01-01
.liaison,0.8567567567567568,partially,52,1,,,2019-02-22
.zuerich,0.85662100456621,partially,0,0,157,157,2019-01-01
.itau,0.8118721461187215,partially,206,0,0,206,2019-07-26
.youtube,0.7881278538812785,partially,232,0,0,232,2019-08-21
.new,0.7269406392694064,partially,299,0,0,299,2019-10-27
.xn--9dbq2a,0.7242009132420091,partially,269,33,0,302,2019-01-01
.schaeffler,0.6916167664670658,partially,0,0,309,309,2019-01-01
.theatre,0.6575342465753424,partially,365,10,0,375,2020-01-12
.gea,0.5992023928215354,partially,0,69,333,402,2019-01-01
.aco,0.5988023952095808,partially,0,69,333,402,2019-01-01
.gay,0.5463917525773195,partially,143,253,0,396,2020-09-11
.forex,0.5095890410958904,partially,355,182,0,537,2019-01-01
.ril,0.41278538812785387,partially,365,278,0,643,2020-10-06
.reliance,0.41278538812785387,partially,365,278,0,643,2020-10-06
.statebank,0.41278538812785387,partially,365,278,0,643,2020-10-06
.jio,0.41278538812785387,partially,365,278,0,643,2020-10-06
.ally,0.4,partially,365,292,0,657,2020-10-20
.maserati,0.4,partially,365,292,0,657,2020-10-20
.gallup,0.4,partially,365,292,0,657,2020-10-20
.bcg,0.4,partially,365,292,0,657,2020-10-20
.pnc,0.4,partially,365,292,0,657,2020-10-20
.thd,0.4,partially,365,292,0,657,2020-10-20
.origins,0.4,partially,365,292,0,657,2020-10-20
.ferrari,0.4,partially,365,292,0,657,2020-10-20
.mckinsey,0.4,partially,365,292,0,657,2020-10-20
.ups,0.4,partially,365,292,0,657,2020-10-20
.goodyear,0.4,partially,365,292,0,657,2020-10-20
.fedex,0.4,partially,365,292,0,657,2020-10-20
.lamer,0.4,partially,365,292,0,657,2020-10-20
.clinique,0.4,partially,365,292,0,657,2020-10-20
.dunlop,0.4,partially,365,292,0,657,2020-10-20
.homedepot,0.4,partially,365,292,0,657,2020-10-20
.contact,0.35251141552511417,partially,365,344,0,709,2020-12-11
.xn--6qq986b3xl,0.32297297297297295,partially,305,195,1,501,2021-01-28
.ren,0.3140655105973025,partially,308,287,117,712,2020-04-17
.sbs,0.30228310502283107,partially,365,365,34,764,2021-02-04
.hair,0.29218900675024106,partially,307,365,62,734,2021-03-04
.skin,0.29218900675024106,partially,307,365,62,734,2021-03-04
.forum,0.27579908675799086,partially,365,365,63,793,2021-03-05
.beauty,0.273972602739726,partially,365,365,65,795,2021-03-07
.rugby,0.26575342465753427,partially,365,365,74,804,2021-03-16
.cfd,0.22557077625570776,partially,365,365,118,848,2021-04-29
.feedback,0.2182648401826484,partially,365,365,126,856,2021-05-07
.bbva,0.1817351598173516,partially,365,365,166,896,2021-06-16
.realtor,0.15524625267665954,partially,330,291,168,789,2021-07-28
.xerox,0.1470292044310171,partially,331,329,187,847,2021-07-22
.med,0.14337899543378996,partially,365,365,208,938,2021-07-28
.xn--8y0a063a,0.10707456978967496,partially,204,365,365,934,2019-02-19
.unicom,0.10707456978967496,partially,204,365,365,934,2019-02-19
.xn--ses554g,0.0528169014084507,partially,222,297,288,807,2021-11-17
.protection,0.0009132420091324201,partially,364,365,365,1094,2019-07-23
.off,0.0,disabled,308,343,315,966,
.kerryhotels,0.0,disabled,365,365,365,1095,
.aramco,0.0,disabled,365,365,365,1095,
.xn--11b4c3d,0.0,disabled,365,365,365,1095,
.komatsu,0.0,disabled,365,365,365,1095,
.fidelity,0.0,disabled,365,365,365,1095,
.hgtv,0.0,disabled,365,365,365,1095,
.xbox,0.0,disabled,365,365,365,1095,
.here,0.0,disabled,365,365,365,1095,
.xn--c2br7g,0.0,disabled,365,365,365,1095,
.docs,0.0,disabled,365,365,365,1095,
.juniper,0.0,disabled,365,365,365,1095,
.norton,0.0,disabled,365,365,365,1095,
.azure,0.0,disabled,365,365,365,1095,
.xn--cg4bki,0.0,disabled,348,339,345,1032,
.xn--czr694b,0.0,disabled,319,306,321,946,
.xn--czrs0t,0.0,disabled,365,365,365,1095,
